Facility Chemical ID,Facility ID,Chemical ID,Reporting Year,Max Amount,Average Amount,Max Amount Largest Container,Unit,Days On Site,Has Confidential Storage Locations?,Always report this chemical even when it is below reporting thresholds
3572a26e-f0b5-45a6-9f4b-537080ad01a7,76dd69a4-aad6-409c-b938-8bd12c99973c,3572a26e-f0b5-45a6-9f4b-537080ad01a7,2023,2,21,2,GALLONS,365,FALSE,TRUE
03a1f46f-7eef-4386-831d-596de684311c,76dd69a4-aad6-409c-b938-8bd12c99973c,03a1f46f-7eef-4386-831d-596de684311c,2023,8,36,8,GALLONS,365,FALSE,TRUE
18ceda4c-75fd-4b7e-b5e0-2122b92db8f0,76dd69a4-aad6-409c-b938-8bd12c99973c,18ceda4c-75fd-4b7e-b5e0-2122b92db8f0,2023,1,1,80,CUBIC_FEET,365,FALSE,TRUE
f58c4f87-1b9f-4578-8dd7-794ad56adc35,76dd69a4-aad6-409c-b938-8bd12c99973c,f58c4f87-1b9f-4578-8dd7-794ad56adc35,2023,60,325,60,GALLONS,365,FALSE,TRUE
f5e52940-f35e-4e23-843b-539952704202,76dd69a4-aad6-409c-b938-8bd12c99973c,f5e52940-f35e-4e23-843b-539952704202,2023,157,157,157,GALLONS,365,FALSE,TRUE
d2788d9e-c2d3-47c9-92b3-c8d8e35d7633,eee4eeff-59df-4c2a-b32e-4cc2ffd653bc,d2788d9e-c2d3-47c9-92b3-c8d8e35d7633,2023,136,136,0,POUNDS,365,FALSE,TRUE
f2f56f71-131c-4e0d-8d40-14d38c0c6f0e,eee4eeff-59df-4c2a-b32e-4cc2ffd653bc,f2f56f71-131c-4e0d-8d40-14d38c0c6f0e,2023,0,0,0,GALLONS,365,FALSE,TRUE
9d0e4066-42b6-40d8-b59f-c934453dd9cb,eee4eeff-59df-4c2a-b32e-4cc2ffd653bc,9d0e4066-42b6-40d8-b59f-c934453dd9cb,2023,2400,1500,3000,GALLONS,365,FALSE,TRUE
c303144b-3c63-42c9-9432-3d26216980c8,eee4eeff-59df-4c2a-b32e-4cc2ffd653bc,c303144b-3c63-42c9-9432-3d26216980c8,2023,397,397,397,CUBIC_FEET,365,FALSE,TRUE
c2b42566-2de3-4d10-ba4f-75d6d44b4b11,eee4eeff-59df-4c2a-b32e-4cc2ffd653bc,c2b42566-2de3-4d10-ba4f-75d6d44b4b11,2023,0,0,0,GALLONS,365,FALSE,TRUE
802cea6c-2ff5-4716-9f88-9028e7aa3d13,eee4eeff-59df-4c2a-b32e-4cc2ffd653bc,802cea6c-2ff5-4716-9f88-9028e7aa3d13,2023,0,0,0,GALLONS,365,FALSE,TRUE
f8ca3b1e-cc71-45c8-b8c5-09e399614d05,eee4eeff-59df-4c2a-b32e-4cc2ffd653bc,f8ca3b1e-cc71-45c8-b8c5-09e399614d05,2023,0,0,0,GALLONS,365,FALSE,TRUE
bc29757e-a021-462f-9b7d-cae7d9e388bd,eee4eeff-59df-4c2a-b32e-4cc2ffd653bc,bc29757e-a021-462f-9b7d-cae7d9e388bd,2023,0,0,0,GALLONS,365,FALSE,TRUE
f3dde940-a506-4b3e-8e95-0c4201c87754,eee4eeff-59df-4c2a-b32e-4cc2ffd653bc,f3dde940-a506-4b3e-8e95-0c4201c87754,2023,0,0,0,GALLONS,365,FALSE,TRUE
61eed175-191a-4036-819f-46bb0ab81046,eee4eeff-59df-4c2a-b32e-4cc2ffd653bc,61eed175-191a-4036-819f-46bb0ab81046,2023,0,0,0,GALLONS,365,FALSE,TRUE
eb9d02d8-c278-4d90-af90-c9c2144b50a5,eee4eeff-59df-4c2a-b32e-4cc2ffd653bc,eb9d02d8-c278-4d90-af90-c9c2144b50a5,2023,0,0,0,GALLONS,365,FALSE,TRUE
10d5d2bf-d051-4a5e-b312-539eb7b93b07,eee4eeff-59df-4c2a-b32e-4cc2ffd653bc,10d5d2bf-d051-4a5e-b312-539eb7b93b07,2023,0,0,0,GALLONS,365,FALSE,TRUE
2084fbbe-779b-439f-a911-8249094119a2,eee4eeff-59df-4c2a-b32e-4cc2ffd653bc,2084fbbe-779b-439f-a911-8249094119a2,2023,0,0,0,GALLONS,365,FALSE,TRUE
